utterances,IOB Slot tags
who plays luke on star wars new hope,O O B_char O B_movie I_movie I_movie I_movie
show credits for the godfather,O O O B_movie I_movie
who was the main actor in the exorcist,O O O O O O B_movie I_movie
find the female actress from the movie she 's the man,O O O O O O O B_movie I_movie I_movie I_movie
who played dory on finding nemo,O O B_char O B_movie I_movie
who was the female lead in resident evil,O O O O O O B_movie I_movie
who played guido in life is beautiful,O O B_char O B_movie I_movie I_movie
who was the co-star in shoot to kill,O O O O O B_movie I_movie I_movie
find the guy who plays charlie on charlie 's angels,O O O O O B_char O B_movie I_movie
cast and crew of movie the campaign,O O O O O B_movie I_movie
cast and crew of the campaign,O O O O B_movie I_movie
who plays in the movie the campaign,O O O O O B_movie I_movie
who starred in the campaign,O O O B_movie I_movie
who were the crew for the campaign,O O O O O B_movie I_movie
who was the lead man in taxi driver,O O O O O O B_movie I_movie
star of twilight,O O B_movie
who stars in vulgaria,O O O B_movie
what are the names of female actors who played in lost,O O O O O O O O O O B_movie
can i see the set list and cast for life is beautiful,O O O O O O O O O B_movie I_movie I_movie
cast and crew of life is beautiful,O O O O B_movie I_movie I_movie
show cast and crew for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
what 's the cast for life is beautiful,O O O O B_movie I_movie I_movie
who played in life is beautiful,O O O B_movie I_movie I_movie
who played in life is beautiful,O O O B_movie I_movie I_movie
who was in life is beautiful,O O O B_movie I_movie I_movie
who were roberto benigni 's costars on life is beautiful,O O O O O O B_movie I_movie I_movie
i am looking for the actor that played in pretty women,O O O O O O O O O B_movie I_movie
star of troy,O O B_movie
who played robin in batman forever,O O B_char O B_movie I_movie
find the male actor from dirty harry,O O O O O B_movie I_movie
show me the actor of the ranam,O O O O O O B_movie
rocky actor,B_movie O
what actor played in the amazing spider man,O O O O B_movie I_movie I_movie I_movie
who are the actors in captain america,O O O O O B_movie I_movie
who starred in captain america,O O O B_movie I_movie
who was in the movie captain america,O O O O O B_movie I_movie
who were the cast members in the hobbist,O O B_movie O O O B_movie I_movie
show me the actor of the movie varsham,O O O O O O O B_movie
which female actors starred in hitch,O O O O O B_movie
can i see the cast and crew for the movie in july,O O O O O O O O O O B_movie I_movie
list cast and crew in july,O O O O B_movie I_movie
who stars in in july,O O O B_movie I_movie
who stars in in july,O O O B_movie I_movie
roll credits for top gun,O O O B_movie I_movie
show me the actor of the movie sirisiri muvva,O O O O O O O B_movie I_movie
rocky 2 actor,B_movie I_movie O
who is chewbakka,O O B_char
who stared in i love lucy,O O O B_movie I_movie I_movie
apollo thirteen cast members,B_movie I_movie O O
can you tell me more about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O B_movie I_movie
cast and crew for apollo thirteen,O O O O B_movie I_movie
castmembers of apollo thirteen,O O B_movie I_movie
complete cast and crew of apollo thirteen,O O O O O B_movie I_movie
find for information about the cast of appolo thirteen,O O O O O O O B_movie I_movie
find info on the crew of apollo thirteen,O O O O O O B_movie I_movie
give me more facts about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
i need to know in detail about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O O O B_movie I_movie
i want to find information about the cast of apollo thirteen,O O O O O O O O O B_movie I_movie
show me more information about the cast and crew of the movie apollo thirteen,O O O O O O O O O O O O B_movie I_movie
what actors were in dirty dancing,O O O O B_movie I_movie
show me the actors in captain america,O O O O O B_movie I_movie
show me gilda 's credits,O O B_movie O O
i can 't remember the lead guy in the avengers,O O O B_movie O O O B_movie I_movie
show cast list for the avergers,O O O O B_movie I_movie
who plays nemo in finding nemo,O O B_char O B_movie B_movie
find cast and crew for the movie finding nemo,O O O O O O O B_movie I_movie
show me the cast and crew for finding nemo,O O O O O O O B_movie I_movie
show me the cast of finding nemo,O O O O O B_movie I_movie
who are the main voices in finding nemo,O O O O O O B_movie I_movie
who starred in finding nemo,O O O B_movie I_movie
who stars in finding nemo,O O O B_movie I_movie
who was the main character in men in black 3,O O O O O O B_movie I_movie I_movie I_movie
can i see the credits for dirty dancing,O O O O O O B_movie I_movie
cast of dirty dancing,O O B_movie I_movie
find cast and crew for dirty dancing,O O O O O B_movie I_movie
search cast and crew for dirty dancing,O O O O O B_movie I_movie
search for the cast and crew for the movie dirty dancing,O O O O O O O O O B_movie I_movie
show me the cast and list for dirty dancing,O O O O O O O B_movie I_movie
who starred in dirty dancing,O O O B_movie I_movie
who starred in dirty dancing,O O O B_movie I_movie
who were the stars of dirty dancing,O O O O O B_movie I_movie
who was the male star of titanic,O O O O O O B_movie
who starred in taxi,O O O B_movie
who played in the oranges,O O O B_movie I_movie
actors for life is beautiful,O O B_movie I_movie I_movie
who are the lead actors in life is beautiful,O O O O O O B_movie I_movie I_movie
find the male actor from the movie born free,O O O O O O O B_movie I_movie
actor from iron man,O O B_movie I_movie
shows actors in shoot to kill,O O O B_movie I_movie I_movie
which actors starred in hitch,O O O O B_movie
who are all of the actors in hitch,O O O O O O O B_movie
who was the lead actor in hitch,O O O O O O B_movie
who starred in dark knight rising,O O O B_movie I_movie I_movie
who played nick fury in the avengers,O O B_char I_char O B_movie I_movie
who was the lead actor in the avengers,O O O O O O B_movie I_movie
what was the cast of black swan,O O O O O B_movie I_movie
who acted in black swan,O O O B_movie I_movie
who was in black swan,O O O B_movie I_movie
who was the lead in black swan,O O O O O B_movie I_movie
actors in star wars four,O O B_movie I_movie I_movie
what was the actor who played esme in twilight,O O O O O O B_char O B_movie
who played esme in twilight,O O B_char O B_movie
who starred in the parent trap,O O O B_movie I_movie I_movie
cast and crew for hitch,O O O O B_movie
cast and crew of hitch,O O O O B_movie
cast hitch,O B_movie
hitch crew,B_movie O
list cast hitch,O O B_movie
show me hitch 's cast,O O B_movie O O
show the cast of hitch,O O O O B_movie
what actors appeared in the movie hitch,O O O O O O B_movie
what actors played in the movies hitch,O O O O O O B_movie
what was the cast of hitch,O O O O O B_movie
who starred in hitch,O O O B_movie
who starred in the movie hitch,O O O O O B_movie
who stars in hitch,O O O B_movie
who was in hitch,O O O B_movie
who was in the movie hitch,O O O O O B_movie
who was the star in hitch,O O O O O B_movie
voice actor for homer simpson,O O O B_char I_char
who is in the movie two can play that game,O O O O O B_movie I_movie I_movie I_movie I_movie
actress from gone with the wind,O O B_movie I_movie I_movie I_movie
who are the lead actors in this movie,O O O O O O O O
show me information on the cast and crew of pitchperfect,O O O O O O O O O B_movie
actors in house at the end of the street,O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
can i see the cast and crew for house at the end of the street,O O O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
cast and crew for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
cast and crew for the movie house at the end of the street,O O O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
who stars on the house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
who is in movie,O O O O
who is in movie,O O O O
who is in movie,O O O O
who acts in forager,O O O B_movie
who stars in forager,O O O B_movie
who is the cast and crew for now forager,O O O O O O O O B_movie
who was in now,O O O B_movie
actor from modern family,O O B_movie I_movie
list the actors in forager,O O O O B_movie
cast and crew of go,O O O O B_movie
who starred in go,O O O B_movie
who was the lead actress in the hunger games,O O O O O O B_movie I_movie I_movie
show cast of movie request,O O O O B_movie
what is the cast in resident evil retribution,O O O O O B_movie I_movie I_movie
list me the actors for top gun,O O O O O B_movie I_movie
who was the tin man in wizard of oz,O O O B_char I_char O B_movie I_movie I_movie
actress in hum tum,O O B_movie I_movie
who was the actor in movie hum tum,O O O O O O B_movie I_movie
who is in barfi,O O O B_movie
who was the lead woman in the savages,O O O O O O B_movie I_movie
find the name of the actor who played jack in the movie titanic,O O O O O O O O B_char O O O B_movie
the name of the male lead in the movie titanic,O O O O O O O O O B_movie
what is the name of the lead actor in the titanic,O O O O O O O O O O B_movie
show me who played what role in go,O O O O O O O B_movie
i cannot remember the name of the actor in pretty women,O O O O O O O O O B_movie I_movie
what is the name of the actor who was in the parent trap,O O O O O O O O O O B_movie I_movie I_movie
find name of main actor in the movie the help,O O O O O O O O B_movie I_movie
looking for names of crew members of apollo thirteen,O O O O O O O B_movie I_movie
i can 't figure out the name of the lead guy in the avengers,O O O O O O O O O O O O B_movie I_movie
what were the names of the ladies in facts of life,O O O O O O O O B_movie I_movie I_movie
how old is steven spielberg,O O O B_person I_person
when steven spielberg born,O B_person I_person O
what is tom cruise 's birthday,O O B_person I_person O O
when was tom cruise born,O O B_person I_person O
when is will ferrell 's birthday,O O B_person I_person O O
how old is kristen stewart,O O O B_person I_person
how much did it cost to produce the dark night,O O O O O O O B_movie I_movie I_movie
how much did the dark night cost to produce,O O O B_movie I_movie I_movie O O O
what was the dark night budget,O O B_movie I_movie I_movie O
the godfather 's budget,B_movie I_movie O O
budget for the blind side,O O B_movie I_movie I_movie
i want to look up the budget of freedom writers,O O O O O O O O B_movie I_movie
i would like to look up the budget of freedom writers,O O O O O O O O O B_movie I_movie
look for the budget of freedom writers,O O O O O B_movie I_movie
how much was hunger games made for,O O O B_movie I_movie O O
how much was the budget for the hunger games,O O O O O O B_movie I_movie I_movie
how much did black swan cost,O O O B_movie I_movie O
how much did hollywood pay for black swan,O O O O O O B_movie I_movie
what was the budget for black swan,O O O O O B_movie I_movie
what were production costs for black swan,O O O O O B_movie I_movie
what was the budget for wrong turn,O O O O O B_movie I_movie
search for the budget of step up,O O O O O B_movie I_movie
budget for titanic,O O B_movie
budget for titanic,O O B_movie
budget for titanic movie,O O B_movie O
how much did titanic cost to make,O O O B_movie O O O
how much was the total budget for the titanic,O O O O O O O O B_movie
